name,group,protein,fat,carbs,kcal
Курка (печінка варена),П,26.3,6.3,2.5,167
Курка (печінка сире),П,19,6,1,136
Курка (філе грудка),П,23,1,0,110
Курка (філе грудка варене),П,30,3.8,0,152
Курка (серце варене),П,20.3,10.8,1.4,179
Індичка (грудка),П,25,1,0,110
Яловичина варена,П,26.8,12.5,0,191
Яловича печінка,П,20,3.3,0,150
Яловиче серце,П,15.5,3.2,0,135
Яловиче філе,П,24,3.3,0,135
Телятина,П,20,0.8,0,108
Свинина (почки),П,12.9,5.9,0,136
Свинина (серце),П,15.1,5.3,0,134
Свинина (печінка),П,19.2,4,0,135
Масляна риба,П,19,4.1,0,134
Минтай варений,П,17.3,0.7,0,120
Путассу,П,16.4,0.7,0,100
Кілька солена,П,17,8,0,137
Креветки варені,П,19.2,2.5,0,114
Ледяна риба,П,17.7,2.3,0,117
Пангасіус,П,15.1,3.3,0,134
Сібас,П,17.6,2.9,0,135
Камбала,П,16.4,2.9,0,123
Карась,П,17.7,3.1,0,113
Карп,П,16.7,5,0,114
Судак,П,19.2,0.8,0,97
Тріска,П,17.7,0.8,0,99
Тунець свіжий,П,25,1,0,105
Тунець консервований,П,26,1,0,120
Сьомга свіжа,П,21,6,0,135
Форель слабосолена,П,20,10,0,100
Хек,П,16.4,2.1,0,118
Щука,П,19.2,0.8,0,100
Ікра минтая,П,28.8,2.5,0,102
Ставрида,П,19,5,0,119
Філе мерлузи,П,17.3,0.7,0,135
Скумбрія,П,14,7,0,126 
Кальмар,П,17.7,0,0,100
Яйце куряче варене,П,12,10,2,135
Яйце перепелине,П,13,11,1,170
Яєчний білок,П,24,0,1,135
Творог нежирний,П,17.6,0,1.6,108

Хлібці Fit Crisp з висівками (великі),К,7.5,2.5,30,200
Хлібці Fit Crisp з висівками (малі),К,8,4,48,300
Хліб «Зернятко»,К,10,16.7,20,260
Хліб пшеничний,К,9,1.5,50,260
Хліб житній,К,8,1,40,210
Хліб фітнес,К,4,0.5,50,98
Лаваш листовий,К,12,0,60,228
Хліб зерновий,К,7.5,2.5,35,215
Багет з висівками,К,6.7,3.3,43.3,313
Сушка,К,10,0,60,300
Борошно пшеничне в/ґ,К,8,0,72,312
Борошно пшеничне 1 ґатунку,К,12,0,72,316
Борошно пшеничне 2 ґатунку,К,12,0,68,316
Висівки пшеничні,К,6,2,13,76
Гречана каша на воді,К,4.6,1.1,24.3,129
Гречана крупа (суха),К,12,4,62,336
Перлова каша розсипчаста,К,3.3,0,23.3,107
Перлова крупа (суха),К,9.2,1.2,66.4,320
Вівсяна каша на воді,К,3.8,2.1,18.8,110
Вівсяна крупа (суха),К,10.8,6,64,304
Суміш злаків Nowak,К,12,4,60,328
Рис дикий (сухий),К,8.9,3.7,55.6,293
Манна крупа,К,16,1,68,328
Рисова крупа (суха),К,7,1,70,330
Рисова каша на воді,К,1.9,0.1,21.8,97
Пшоно (крупа суха),К,11.2,3.2,66.4,348
Пшона каша на воді,К,3,0.7,17,90
Пшенична каша розсипчаста,К,4.7,1,26,135

Картопля (сирa),К,2,0,19,81
Картопля варена,К,2,0,16,82
Картопля молода,К,2.5,0,12.5,78
Картопля смажена,К,3,10,30,198
Гарбуз сирий,К,1.5,0,7.5,60
Заморожені овочі мікс,К,2.25,0,7.5,82
Горох сушений,К,6,0,56,90
Горох варений,К,6,0,56,72
Горошок зелений заморожений,К,6,0,16,72
Горошок консервований,К,3.3,0,10,82
Чечевиця варена,К,12,0,44,88
Чечевиця сушена,К,30.3,4.6,43.3,85
Кукурудза солодка консервована,К,6.8,0.7,33.7,83
Фасоля біла,К,10.5,0,56,82
Фасоля червона,К,14,0,56,93
Фасоля спаржева,К,4.2,0.3,16.7,85
Фасоля варена,К,12,0,56,86
Фасоля суха,К,43.3,0,56,80
Суп,К,4,2,30,227

Фініки,Ф,1,0,65,280
Ізюм,Ф,0,0,70,290
Чорнослив,Ф,1,0,60,240
Курага,Ф,1,0,56,236
Узвар,Ф,0,0,15,60
Кисіль,Ф,0,0,13,54
Урюк,Ф,1,0,71,290
Інжир сушений,Ф,1,0,70,280
Яблуко свіже,Ф,0,0,12,48
Абрикос,Ф,0.8,0,14,56
Банан,Ф,1,0,14,61
Ожина,Ф,1,0,5,62
Диня,Ф,0,0,11,55
Вишня,Ф,1,0,17,68
Мандарин,Ф,1,0,9,35
Грейпфрут,Ф,1,0,8,33
Виноград,Ф,0.6,0,16,65
Ківі,Ф,1,0,11,50
Апельсин,Ф,0.9,0,12,62
Персик,Ф,0.6,0,10,42
Груша,Ф,0.4,0,10,41
Слива,Ф,1,0,12,51
Малина,Ф,1,0,12,60
Клубника,Ф,1,0,8,50
Арбуз,Ф,0.6,0,7,28
Алыча,Ф,0.6,0,10,60
Ананас,Ф,0.5,0,13,60
Гранат,Ф,1,0,17,65
Хурма,Ф,0.5,0,16,62
Черешня,Ф,0.6,0,14,60
Шовковиця,Ф,1,0,13,53
Полуниця,Ф,0.7,0,8,50
Крижовник,Ф,0.7,0,9,60
Смородина біла,Ф,0.6,0,9,60
Смородина червона,Ф,0.5,0,9,58
Смородина чорна,Ф,0.5,0,10,61
Айва,Ф,0.6,0,10,58
Інжир свіжий,Ф,0.5,0,13,60
Морква свіжа,Ф,0.9,0,7,32
Морква варена,Ф,0.7,0,6,25
Буряк свіжий,Ф,1,0,10,40
Буряк варений,Ф,1,0,11,49
Мед,Ф,0,0,78,312

Кефір 1%,М,2.8,1.2,4,100
Кефір 3.5%,М,2.6,3.5,2.5,75
Кефір 0%,М,3,0,5,90
Молоко 2.5%,М,3,3,5,53
Молоко 1.5%,М,2.8,1.5,5,110
Молоко 3%,М,3,3,5,100
Сир Едем,М,7,8,1,99
Сир швейцарський,М,8,8,0,110
Сир голландський,М,7,8,0,99
Сир російський,М,7,8,0,102
Сир Гауда,М,7,8,0,100
Фета,М,5,8,2,99
Брі,М,6,8,0,95
Моцарелла,М,7,6,1,80
Сир копчений,М,9,7,0,100
Сир плавлений,М,11,6,1,99
Бринза 30%,М,5,6,0,78
Сулугуні,М,8,8,0,108
Сир адигейський,М,8,8,0,105
Творог 5%,М,21,5,2,121

Оливкова олія,Ж,0,100,0,898
Соняшникова олія,Ж,0,100,0,899
Вершкове масло,Ж,0,85,0,748
Маргарин,Ж,0,80,0,717
Авокадо,Ж,1,16,3,160
Маслини,Ж,0.5,12,3,115
Оливки,Ж,0.5,8,4,100
Шоколад 99%,Ж,1.3,5,1,53
Шоколад 85%,Ж,1,5,2,56
Майонез,Ж,0,60,1,50
Сливки 10%,Ж,2,5,2,60
Сметана 15%,Ж,2,5,2,47
Сметана 20%,Ж,2,5,2,52
Сметана 30%,Ж,1,5,1,50
Масло вершкове,Ж,0,85,0,748

Гарбузянне насіння,O,30,49,10,574
Волоський горіх,О,15,65,7,654
Арахіс,О,25,49,16,552
Фісташки,O,20,45,28,562
Сонячникове насіння,O,21,51,20,584
Мигдаль,О,21,55,20,643
Кешью,О,18,44,30,647
Фундук,О,15,61,17,651
Насіння кунжуту,O,18,50,23,573
Насіння льону,O,18,42,28,534

Огірок свіжий,ОК,0.6,0.1,3,12
Огірок консервований,ОК,0.5,0.1,3,15
Кабачок,ОК,1.2,0.2,4,24
Баклажан,ОК,1,0.2,5,22
Цибуля,ОК,1.1,0.1,9,41
Часник,ОК,6.4,0.5,33,103
Капуста білокачанна,ОК,1.8,0.2,6,27
Капуста кольорова,ОК,2,0.3,5,30
Броколі,ОК,2.8,0.4,7,34
Помідор,ОК,0.9,0.2,4,19